id,timestamp,coordinate_x,coordinate_y,latitude,longitude,thresh,uuid,width,height,angle
463734,"2025-07-20 19:05:44.161413",90,2990,35.5,139.6,3,"Raspi Soramame Sora01",,,
463787,"2025-07-20 19:28:19.967848",2938,1233,35.5,139.6,3,"Raspi Soramame Sora01",,,
463863,"2025-07-20 19:56:15.435903",413,2890,35.5,139.6,3,"Raspi Soramame Sora01",,,
463867,"2025-07-20 19:57:18.991180",2616,1306,35.5,139.6,3,"Raspi Soramame Sora01",,,
463882,"2025-07-20 20:02:04.549735",3780,2878,35.5,139.6,3,"Raspi Soramame Sora01",,,
463902,"2025-07-20 20:13:16.005412",1196,1391,35.5,139.6,3,"Raspi Soramame Sora01",,,
463931,"2025-07-20 20:22:40.888818",920,1272,35.5,139.6,3,"Raspi Soramame Sora01",,,
463933,"2025-07-20 20:22:40.888818",1944,2,35.5,139.6,3,"Raspi Soramame Sora01",,,
463943,"2025-07-20 20:28:09.933565",1036,2064,35.5,139.6,3,"Raspi Soramame Sora01",,,
463947,"2025-07-20 20:28:59.415363",1412,826,35.5,139.6,3,"Raspi Soramame Sora01",,,
463997,"2025-07-20 20:47:06.773597",3290,803,35.5,139.6,3,"Raspi Soramame Sora01",,,
464010,"2025-07-20 20:52:19.161479",3302,125,35.5,139.6,3,"Raspi Soramame Sora01",,,
