id,timestamp,coordinate_x,coordinate_y,latitude,longitude,thresh,uuid,width,height,angle
462845,"2025-07-20 14:15:25.362422",551,1880,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462872,"2025-07-20 14:23:08.090874",2758,2938,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462892,"2025-07-20 14:29:33.663856",1487,481,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462954,"2025-07-20 14:54:55.370436",3264,1554,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462960,"2025-07-20 14:58:06.163053",2803,1523,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462961,"2025-07-20 14:58:14.421121",3423,2335,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463006,"2025-07-20 15:15:07.384191",2018,1072,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463007,"2025-07-20 15:15:07.384191",1997,850,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463029,"2025-07-20 15:23:16.202446",2920,2970,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463087,"2025-07-20 15:43:14.908761",3705,91,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463100,"2025-07-20 15:47:32.705687",1360,2652,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463112,"2025-07-20 15:51:33.421245",2609,2179,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463131,"2025-07-20 15:59:03.825512",1758,527,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463134,"2025-07-20 15:59:52.529621",3174,62,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463192,"2025-07-20 16:17:44.660407",3944,2588,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463199,"2025-07-20 16:19:28.480530",2124,425,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463217,"2025-07-20 16:22:49.743605",1866,318,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463237,"2025-07-20 16:28:24.632272",1862,1285,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463253,"2025-07-20 16:33:17.918401",654,2305,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463259,"2025-07-20 16:34:40.589077",3362,2632,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463280,"2025-07-20 16:42:41.993897",1569,1447,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463306,"2025-07-20 16:50:56.484110",834,1095,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463385,"2025-07-20 17:13:27.966923",446,81,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463388,"2025-07-20 17:14:07.200474",1732,2619,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463410,"2025-07-20 17:18:03.452501",1116,2168,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463428,"2025-07-20 17:24:04.106202",3543,2752,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463429,"2025-07-20 17:24:04.106202",3485,2617,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
